id,stem,category,sub_category,type,options,correct_answer,explanation,rationales,difficulty,references
114,"Following a cardiac catheterization, the patient reports sudden, sharp chest pain.",physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Administer oxygen and monitor vital signs.""}, {""id"": ""B"", ""text"": ""Instruct the patient to cough forcefully.""}, {""id"": ""C"", ""text"": ""Immediately notify the physician.""}, {""id"": ""D"", ""text"": ""Assess the insertion site for bleeding.""}]","""C""","Sudden, sharp chest pain following a cardiac catheterization suggests possible cardiac tamponade or retroperitoneal bleeding, both life-threatening emergencies requiring immediate physician notification. While monitoring vital signs (A) and assessing the insertion site (D) are important, they are not the priority in this situation.  Coughing (B) is not indicated and could worsen the situation.","{""A"": ""Sudden, sharp chest pain following a cardiac catheterization suggests possible cardiac tamponade or retroperitoneal bleeding, both life-threatening emergencies requiring immediate physician notification. While monitoring vital signs (A) and assessing the insertion site (D) are important, they are not the priority in this situation.  Coughing (B) is not indicated and could worsen the situation."", ""B"": ""Sudden, sharp chest pain following a cardiac catheterization suggests possible cardiac tamponade or retroperitoneal bleeding, both life-threatening emergencies requiring immediate physician notification. While monitoring vital signs (A) and assessing the insertion site (D) are important, they are not the priority in this situation.  Coughing (B) is not indicated and could worsen the situation."", ""C"": ""Sudden, sharp chest pain following a cardiac catheterization suggests possible cardiac tamponade or retroperitoneal bleeding, both life-threatening emergencies requiring immediate physician notification. While monitoring vital signs (A) and assessing the insertion site (D) are important, they are not the priority in this situation.  Coughing (B) is not indicated and could worsen the situation."", ""D"": ""Sudden, sharp chest pain following a cardiac catheterization suggests possible cardiac tamponade or retroperitoneal bleeding, both life-threatening emergencies requiring immediate physician notification. While monitoring vital signs (A) and assessing the insertion site (D) are important, they are not the priority in this situation.  Coughing (B) is not indicated and could worsen the situation.""}",2,
115,Ventilator alarms high pressure.  The patient is receiving mechanical ventilation and suddenly shows signs of increased respiratory distress.  Which of the following actions should the nurse take?,physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Check for kinks in the tubing.""}, {""id"": ""B"", ""text"": ""Suction the patient's airway.""}, {""id"": ""C"", ""text"": ""Increase the ventilator rate.""}, {""id"": ""D"", ""text"": ""Assess the patient's lung sounds.""}, {""id"": ""E"", ""text"": ""Administer a bronchodilator as ordered.""}, {""id"": ""F"", ""text"": ""Immediately disconnect the ventilator.""}]","[""A"", ""B"", ""D"", ""E""]","High-pressure ventilator alarms indicate increased airway resistance.  Kinks in the tubing (A) and secretions in the airway (requiring suctioning (B)) are common causes. Assessing lung sounds (D) helps determine the source of the increased resistance.  A bronchodilator (E) may be necessary if bronchospasm is the cause.  Increasing the ventilator rate (C) could worsen the problem, and disconnecting the ventilator (F) is unsafe and would compromise the patient's oxygenation.","{""A"": ""High-pressure ventilator alarms indicate increased airway resistance.  Kinks in the tubing (A) and secretions in the airway (requiring suctioning (B)) are common causes. Assessing lung sounds (D) helps determine the source of the increased resistance.  A bronchodilator (E) may be necessary if bronchospasm is the cause.  Increasing the ventilator rate (C) could worsen the problem, and disconnecting the ventilator (F) is unsafe and would compromise the patient's oxygenation."", ""B"": ""High-pressure ventilator alarms indicate increased airway resistance.  Kinks in the tubing (A) and secretions in the airway (requiring suctioning (B)) are common causes. Assessing lung sounds (D) helps determine the source of the increased resistance.  A bronchodilator (E) may be necessary if bronchospasm is the cause.  Increasing the ventilator rate (C) could worsen the problem, and disconnecting the ventilator (F) is unsafe and would compromise the patient's oxygenation."", ""C"": ""High-pressure ventilator alarms indicate increased airway resistance.  Kinks in the tubing (A) and secretions in the airway (requiring suctioning (B)) are common causes. Assessing lung sounds (D) helps determine the source of the increased resistance.  A bronchodilator (E) may be necessary if bronchospasm is the cause.  Increasing the ventilator rate (C) could worsen the problem, and disconnecting the ventilator (F) is unsafe and would compromise the patient's oxygenation."", ""D"": ""High-pressure ventilator alarms indicate increased airway resistance.  Kinks in the tubing (A) and secretions in the airway (requiring suctioning (B)) are common causes. Assessing lung sounds (D) helps determine the source of the increased resistance.  A bronchodilator (E) may be necessary if bronchospasm is the cause.  Increasing the ventilator rate (C) could worsen the problem, and disconnecting the ventilator (F) is unsafe and would compromise the patient's oxygenation."", ""E"": ""High-pressure ventilator alarms indicate increased airway resistance.  Kinks in the tubing (A) and secretions in the airway (requiring suctioning (B)) are common causes. Assessing lung sounds (D) helps determine the source of the increased resistance.  A bronchodilator (E) may be necessary if bronchospasm is the cause.  Increasing the ventilator rate (C) could worsen the problem, and disconnecting the ventilator (F) is unsafe and would compromise the patient's oxygenation."", ""F"": ""High-pressure ventilator alarms indicate increased airway resistance.  Kinks in the tubing (A) and secretions in the airway (requiring suctioning (B)) are common causes. Assessing lung sounds (D) helps determine the source of the increased resistance.  A bronchodilator (E) may be necessary if bronchospasm is the cause.  Increasing the ventilator rate (C) could worsen the problem, and disconnecting the ventilator (F) is unsafe and would compromise the patient's oxygenation.""}",3,
116,Potassium level is 5.8 mEq/L.  The nurse should prioritize which intervention?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Administer potassium chloride intravenously.""}, {""id"": ""B"", ""text"": ""Monitor the patient's cardiac rhythm.""}, {""id"": ""C"", ""text"": ""Restrict the patient's potassium intake.""}, {""id"": ""D"", ""text"": ""Encourage increased fluid intake.""}]","""B""","A potassium level of 5.8 mEq/L is hyperkalemia, a serious electrolyte imbalance that can cause life-threatening cardiac arrhythmias.  Therefore, continuous cardiac monitoring (B) is the priority.  While restricting potassium intake (C) and encouraging fluid intake (D) are appropriate, they are not as urgent as monitoring the heart rhythm. Administering potassium chloride (A) would exacerbate the hyperkalemia.","{""A"": ""A potassium level of 5.8 mEq/L is hyperkalemia, a serious electrolyte imbalance that can cause life-threatening cardiac arrhythmias.  Therefore, continuous cardiac monitoring (B) is the priority.  While restricting potassium intake (C) and encouraging fluid intake (D) are appropriate, they are not as urgent as monitoring the heart rhythm. Administering potassium chloride (A) would exacerbate the hyperkalemia."", ""B"": ""A potassium level of 5.8 mEq/L is hyperkalemia, a serious electrolyte imbalance that can cause life-threatening cardiac arrhythmias.  Therefore, continuous cardiac monitoring (B) is the priority.  While restricting potassium intake (C) and encouraging fluid intake (D) are appropriate, they are not as urgent as monitoring the heart rhythm. Administering potassium chloride (A) would exacerbate the hyperkalemia."", ""C"": ""A potassium level of 5.8 mEq/L is hyperkalemia, a serious electrolyte imbalance that can cause life-threatening cardiac arrhythmias.  Therefore, continuous cardiac monitoring (B) is the priority.  While restricting potassium intake (C) and encouraging fluid intake (D) are appropriate, they are not as urgent as monitoring the heart rhythm. Administering potassium chloride (A) would exacerbate the hyperkalemia."", ""D"": ""A potassium level of 5.8 mEq/L is hyperkalemia, a serious electrolyte imbalance that can cause life-threatening cardiac arrhythmias.  Therefore, continuous cardiac monitoring (B) is the priority.  While restricting potassium intake (C) and encouraging fluid intake (D) are appropriate, they are not as urgent as monitoring the heart rhythm. Administering potassium chloride (A) would exacerbate the hyperkalemia.""}",1,
117,"""My stomach feels bloated and I've been vomiting constantly,"" says the patient post-op day 2 after abdominal surgery.",physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Document the findings and reassess in an hour.""}, {""id"": ""B"", ""text"": ""Administer prescribed antiemetic medication.""}, {""id"": ""C"", ""text"": ""Assess for bowel sounds and abdominal distention.""}, {""id"": ""D"", ""text"": ""Encourage the patient to ambulate.""}]","""C""","Post-operative nausea and vomiting (PONV), and bloating are common, but persistent vomiting and bloating suggest possible post-operative complications such as ileus or bowel obstruction.  A thorough abdominal assessment including auscultation for bowel sounds and palpation for distention (C) is crucial to determine the cause and appropriate intervention.  While administering antiemetics (B) may be necessary, a comprehensive assessment is paramount.  Ambulation (D) is beneficial post-op but secondary to addressing the potential complications. Simply documenting (A) without further assessment is inadequate.","{""A"": ""Post-operative nausea and vomiting (PONV), and bloating are common, but persistent vomiting and bloating suggest possible post-operative complications such as ileus or bowel obstruction.  A thorough abdominal assessment including auscultation for bowel sounds and palpation for distention (C) is crucial to determine the cause and appropriate intervention.  While administering antiemetics (B) may be necessary, a comprehensive assessment is paramount.  Ambulation (D) is beneficial post-op but secondary to addressing the potential complications. Simply documenting (A) without further assessment is inadequate."", ""B"": ""Post-operative nausea and vomiting (PONV), and bloating are common, but persistent vomiting and bloating suggest possible post-operative complications such as ileus or bowel obstruction.  A thorough abdominal assessment including auscultation for bowel sounds and palpation for distention (C) is crucial to determine the cause and appropriate intervention.  While administering antiemetics (B) may be necessary, a comprehensive assessment is paramount.  Ambulation (D) is beneficial post-op but secondary to addressing the potential complications. Simply documenting (A) without further assessment is inadequate."", ""C"": ""Post-operative nausea and vomiting (PONV), and bloating are common, but persistent vomiting and bloating suggest possible post-operative complications such as ileus or bowel obstruction.  A thorough abdominal assessment including auscultation for bowel sounds and palpation for distention (C) is crucial to determine the cause and appropriate intervention.  While administering antiemetics (B) may be necessary, a comprehensive assessment is paramount.  Ambulation (D) is beneficial post-op but secondary to addressing the potential complications. Simply documenting (A) without further assessment is inadequate."", ""D"": ""Post-operative nausea and vomiting (PONV), and bloating are common, but persistent vomiting and bloating suggest possible post-operative complications such as ileus or bowel obstruction.  A thorough abdominal assessment including auscultation for bowel sounds and palpation for distention (C) is crucial to determine the cause and appropriate intervention.  While administering antiemetics (B) may be necessary, a comprehensive assessment is paramount.  Ambulation (D) is beneficial post-op but secondary to addressing the potential complications. Simply documenting (A) without further assessment is inadequate.""}",2,
118,"For a client with Diabetic Ketoacidosis (DKA), which findings indicate effective treatment?",physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Decreasing blood glucose levels.""}, {""id"": ""B"", ""text"": ""Increasing serum bicarbonate levels.""}, {""id"": ""C"", ""text"": ""Decreasing serum potassium levels.""}, {""id"": ""D"", ""text"": ""Resolution of Kussmaul respirations.""}, {""id"": ""E"", ""text"": ""Increased urine output.""}, {""id"": ""F"", ""text"": ""Decreasing blood pressure.""}]","[""A"", ""B"", ""D"", ""E""]","Effective treatment of DKA is indicated by resolution of ketoacidosis, evidenced by decreasing blood glucose (A), increasing serum bicarbonate (B) which corrects acidosis, and resolution of Kussmaul respirations (D), a compensatory mechanism for metabolic acidosis.  Increased urine output (E) reflects improved hydration and renal perfusion.  Decreasing serum potassium (C) might be seen initially due to fluid shifts and insulin administration, but this is not necessarily an indicator of effective treatment, as potassium levels need to be monitored carefully and replaced as needed. Decreasing blood pressure (F) may indicate dehydration or other complications.","{""A"": ""Effective treatment of DKA is indicated by resolution of ketoacidosis, evidenced by decreasing blood glucose (A), increasing serum bicarbonate (B) which corrects acidosis, and resolution of Kussmaul respirations (D), a compensatory mechanism for metabolic acidosis.  Increased urine output (E) reflects improved hydration and renal perfusion.  Decreasing serum potassium (C) might be seen initially due to fluid shifts and insulin administration, but this is not necessarily an indicator of effective treatment, as potassium levels need to be monitored carefully and replaced as needed. Decreasing blood pressure (F) may indicate dehydration or other complications."", ""B"": ""Effective treatment of DKA is indicated by resolution of ketoacidosis, evidenced by decreasing blood glucose (A), increasing serum bicarbonate (B) which corrects acidosis, and resolution of Kussmaul respirations (D), a compensatory mechanism for metabolic acidosis.  Increased urine output (E) reflects improved hydration and renal perfusion.  Decreasing serum potassium (C) might be seen initially due to fluid shifts and insulin administration, but this is not necessarily an indicator of effective treatment, as potassium levels need to be monitored carefully and replaced as needed. Decreasing blood pressure (F) may indicate dehydration or other complications."", ""C"": ""Effective treatment of DKA is indicated by resolution of ketoacidosis, evidenced by decreasing blood glucose (A), increasing serum bicarbonate (B) which corrects acidosis, and resolution of Kussmaul respirations (D), a compensatory mechanism for metabolic acidosis.  Increased urine output (E) reflects improved hydration and renal perfusion.  Decreasing serum potassium (C) might be seen initially due to fluid shifts and insulin administration, but this is not necessarily an indicator of effective treatment, as potassium levels need to be monitored carefully and replaced as needed. Decreasing blood pressure (F) may indicate dehydration or other complications."", ""D"": ""Effective treatment of DKA is indicated by resolution of ketoacidosis, evidenced by decreasing blood glucose (A), increasing serum bicarbonate (B) which corrects acidosis, and resolution of Kussmaul respirations (D), a compensatory mechanism for metabolic acidosis.  Increased urine output (E) reflects improved hydration and renal perfusion.  Decreasing serum potassium (C) might be seen initially due to fluid shifts and insulin administration, but this is not necessarily an indicator of effective treatment, as potassium levels need to be monitored carefully and replaced as needed. Decreasing blood pressure (F) may indicate dehydration or other complications."", ""E"": ""Effective treatment of DKA is indicated by resolution of ketoacidosis, evidenced by decreasing blood glucose (A), increasing serum bicarbonate (B) which corrects acidosis, and resolution of Kussmaul respirations (D), a compensatory mechanism for metabolic acidosis.  Increased urine output (E) reflects improved hydration and renal perfusion.  Decreasing serum potassium (C) might be seen initially due to fluid shifts and insulin administration, but this is not necessarily an indicator of effective treatment, as potassium levels need to be monitored carefully and replaced as needed. Decreasing blood pressure (F) may indicate dehydration or other complications."", ""F"": ""Effective treatment of DKA is indicated by resolution of ketoacidosis, evidenced by decreasing blood glucose (A), increasing serum bicarbonate (B) which corrects acidosis, and resolution of Kussmaul respirations (D), a compensatory mechanism for metabolic acidosis.  Increased urine output (E) reflects improved hydration and renal perfusion.  Decreasing serum potassium (C) might be seen initially due to fluid shifts and insulin administration, but this is not necessarily an indicator of effective treatment, as potassium levels need to be monitored carefully and replaced as needed. Decreasing blood pressure (F) may indicate dehydration or other complications.""}",3,
119,Ventilator alarms high pressure.  The patient is receiving mechanical ventilation with positive end-expiratory pressure (PEEP).  Which actions should the nurse take? Select all that apply.,physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Check for kinks in the ventilator tubing.""}, {""id"": ""B"", ""text"": ""Suction the patient's airway.""}, {""id"": ""C"", ""text"": ""Assess the patient for increased secretions.""}, {""id"": ""D"", ""text"": ""Decrease the ventilator's tidal volume.""}, {""id"": ""E"", ""text"": ""Administer a bronchodilator as ordered.""}, {""id"": ""F"", ""text"": ""Increase the ventilator's respiratory rate.""}]","[""A"", ""B"", ""C"", ""E""]","High-pressure ventilator alarms indicate increased resistance to airflow.  Kinks in the tubing (A), increased secretions (C) requiring suctioning (B), and bronchospasm (E) all increase airway resistance. Decreasing tidal volume (D) might help but doesn't address the underlying cause. Increasing the respiratory rate (F) could further compromise the patient if the cause is not addressed.  A systematic approach is needed to identify and resolve the cause of the high pressure alarm.","{""A"": ""High-pressure ventilator alarms indicate increased resistance to airflow.  Kinks in the tubing (A), increased secretions (C) requiring suctioning (B), and bronchospasm (E) all increase airway resistance. Decreasing tidal volume (D) might help but doesn't address the underlying cause. Increasing the respiratory rate (F) could further compromise the patient if the cause is not addressed.  A systematic approach is needed to identify and resolve the cause of the high pressure alarm."", ""B"": ""High-pressure ventilator alarms indicate increased resistance to airflow.  Kinks in the tubing (A), increased secretions (C) requiring suctioning (B), and bronchospasm (E) all increase airway resistance. Decreasing tidal volume (D) might help but doesn't address the underlying cause. Increasing the respiratory rate (F) could further compromise the patient if the cause is not addressed.  A systematic approach is needed to identify and resolve the cause of the high pressure alarm."", ""C"": ""High-pressure ventilator alarms indicate increased resistance to airflow.  Kinks in the tubing (A), increased secretions (C) requiring suctioning (B), and bronchospasm (E) all increase airway resistance. Decreasing tidal volume (D) might help but doesn't address the underlying cause. Increasing the respiratory rate (F) could further compromise the patient if the cause is not addressed.  A systematic approach is needed to identify and resolve the cause of the high pressure alarm."", ""D"": ""High-pressure ventilator alarms indicate increased resistance to airflow.  Kinks in the tubing (A), increased secretions (C) requiring suctioning (B), and bronchospasm (E) all increase airway resistance. Decreasing tidal volume (D) might help but doesn't address the underlying cause. Increasing the respiratory rate (F) could further compromise the patient if the cause is not addressed.  A systematic approach is needed to identify and resolve the cause of the high pressure alarm."", ""E"": ""High-pressure ventilator alarms indicate increased resistance to airflow.  Kinks in the tubing (A), increased secretions (C) requiring suctioning (B), and bronchospasm (E) all increase airway resistance. Decreasing tidal volume (D) might help but doesn't address the underlying cause. Increasing the respiratory rate (F) could further compromise the patient if the cause is not addressed.  A systematic approach is needed to identify and resolve the cause of the high pressure alarm."", ""F"": ""High-pressure ventilator alarms indicate increased resistance to airflow.  Kinks in the tubing (A), increased secretions (C) requiring suctioning (B), and bronchospasm (E) all increase airway resistance. Decreasing tidal volume (D) might help but doesn't address the underlying cause. Increasing the respiratory rate (F) could further compromise the patient if the cause is not addressed.  A systematic approach is needed to identify and resolve the cause of the high pressure alarm.""}",3,
120,Potassium level is 5.8 mEq/L. Which assessment findings would the nurse expect in an elderly patient with hyperkalemia? Select all that apply.,physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Muscle weakness""}, {""id"": ""B"", ""text"": ""Irregular heart rhythm""}, {""id"": ""C"", ""text"": ""Increased thirst""}, {""id"": ""D"", ""text"": ""Hypotension""}, {""id"": ""E"", ""text"": ""Nausea and vomiting""}, {""id"": ""F"", ""text"": ""Polyuria""}]","[""A"", ""B""]",Hyperkalemia (high potassium) can cause muscle weakness (A) and cardiac dysrhythmias (B) due to its effect on the heart's electrical conduction. Increased thirst (C) and polyuria (F) are more associated with hypernatremia (high sodium). Hypotension (D) is not a direct effect of hyperkalemia. Nausea and vomiting (E) are less common symptoms directly caused by hyperkalemia.,"{""A"": ""Hyperkalemia (high potassium) can cause muscle weakness (A) and cardiac dysrhythmias (B) due to its effect on the heart's electrical conduction. Increased thirst (C) and polyuria (F) are more associated with hypernatremia (high sodium). Hypotension (D) is not a direct effect of hyperkalemia. Nausea and vomiting (E) are less common symptoms directly caused by hyperkalemia."", ""B"": ""Hyperkalemia (high potassium) can cause muscle weakness (A) and cardiac dysrhythmias (B) due to its effect on the heart's electrical conduction. Increased thirst (C) and polyuria (F) are more associated with hypernatremia (high sodium). Hypotension (D) is not a direct effect of hyperkalemia. Nausea and vomiting (E) are less common symptoms directly caused by hyperkalemia."", ""C"": ""Hyperkalemia (high potassium) can cause muscle weakness (A) and cardiac dysrhythmias (B) due to its effect on the heart's electrical conduction. Increased thirst (C) and polyuria (F) are more associated with hypernatremia (high sodium). Hypotension (D) is not a direct effect of hyperkalemia. Nausea and vomiting (E) are less common symptoms directly caused by hyperkalemia."", ""D"": ""Hyperkalemia (high potassium) can cause muscle weakness (A) and cardiac dysrhythmias (B) due to its effect on the heart's electrical conduction. Increased thirst (C) and polyuria (F) are more associated with hypernatremia (high sodium). Hypotension (D) is not a direct effect of hyperkalemia. Nausea and vomiting (E) are less common symptoms directly caused by hyperkalemia."", ""E"": ""Hyperkalemia (high potassium) can cause muscle weakness (A) and cardiac dysrhythmias (B) due to its effect on the heart's electrical conduction. Increased thirst (C) and polyuria (F) are more associated with hypernatremia (high sodium). Hypotension (D) is not a direct effect of hyperkalemia. Nausea and vomiting (E) are less common symptoms directly caused by hyperkalemia."", ""F"": ""Hyperkalemia (high potassium) can cause muscle weakness (A) and cardiac dysrhythmias (B) due to its effect on the heart's electrical conduction. Increased thirst (C) and polyuria (F) are more associated with hypernatremia (high sodium). Hypotension (D) is not a direct effect of hyperkalemia. Nausea and vomiting (E) are less common symptoms directly caused by hyperkalemia.""}",2,
121,"""My chest feels tight, and I can't catch my breath,"" says a patient experiencing a panic attack.  What is the nurse's priority intervention?",psychosocial-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Administer a prescribed benzodiazepine.""}, {""id"": ""B"", ""text"": ""Encourage deep, slow breathing techniques.""}, {""id"": ""C"", ""text"": ""Immediately place the patient in seclusion.""}, {""id"": ""D"", ""text"": ""Reassure the patient that the symptoms will pass.""}]","""B""","While medication (A) may be indicated, initially focusing on calming the patient through breathing exercises (B) is the priority.  Seclusion (C) is inappropriate and could escalate anxiety. Reassurance (D) is helpful but less effective than immediate breathing techniques.  The goal is to reduce the physiological symptoms of the panic attack first.","{""A"": ""While medication (A) may be indicated, initially focusing on calming the patient through breathing exercises (B) is the priority.  Seclusion (C) is inappropriate and could escalate anxiety. Reassurance (D) is helpful but less effective than immediate breathing techniques.  The goal is to reduce the physiological symptoms of the panic attack first."", ""B"": ""While medication (A) may be indicated, initially focusing on calming the patient through breathing exercises (B) is the priority.  Seclusion (C) is inappropriate and could escalate anxiety. Reassurance (D) is helpful but less effective than immediate breathing techniques.  The goal is to reduce the physiological symptoms of the panic attack first."", ""C"": ""While medication (A) may be indicated, initially focusing on calming the patient through breathing exercises (B) is the priority.  Seclusion (C) is inappropriate and could escalate anxiety. Reassurance (D) is helpful but less effective than immediate breathing techniques.  The goal is to reduce the physiological symptoms of the panic attack first."", ""D"": ""While medication (A) may be indicated, initially focusing on calming the patient through breathing exercises (B) is the priority.  Seclusion (C) is inappropriate and could escalate anxiety. Reassurance (D) is helpful but less effective than immediate breathing techniques.  The goal is to reduce the physiological symptoms of the panic attack first.""}",3,
122,"For a client with Diabetic Ketoacidosis (DKA), which interventions are appropriate? Select all that apply.",physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Administer regular insulin IV.""}, {""id"": ""B"", ""text"": ""Monitor blood glucose levels frequently.""}, {""id"": ""C"", ""text"": ""Restrict fluid intake.""}, {""id"": ""D"", ""text"": ""Encourage oral intake of fluids.""}, {""id"": ""E"", ""text"": ""Administer potassium replacement as needed.""}, {""id"": ""F"", ""text"": ""Monitor for signs of hypokalemia.""}]","[""A"", ""B"", ""E""]","DKA requires prompt insulin administration (A) to lower blood glucose. Frequent blood glucose monitoring (B) is essential to guide insulin therapy.  Potassium is often depleted in DKA, requiring replacement (E). Fluid replacement is crucial (not restriction, C) because of dehydration.  Hypokalemia (F) is a common complication of DKA; however, monitoring for it isn't as critical as actively replacing potassium.  Encouraging oral fluids (D) is contraindicated until fluid replacement is initiated via IV.","{""A"": ""DKA requires prompt insulin administration (A) to lower blood glucose. Frequent blood glucose monitoring (B) is essential to guide insulin therapy.  Potassium is often depleted in DKA, requiring replacement (E). Fluid replacement is crucial (not restriction, C) because of dehydration.  Hypokalemia (F) is a common complication of DKA; however, monitoring for it isn't as critical as actively replacing potassium.  Encouraging oral fluids (D) is contraindicated until fluid replacement is initiated via IV."", ""B"": ""DKA requires prompt insulin administration (A) to lower blood glucose. Frequent blood glucose monitoring (B) is essential to guide insulin therapy.  Potassium is often depleted in DKA, requiring replacement (E). Fluid replacement is crucial (not restriction, C) because of dehydration.  Hypokalemia (F) is a common complication of DKA; however, monitoring for it isn't as critical as actively replacing potassium.  Encouraging oral fluids (D) is contraindicated until fluid replacement is initiated via IV."", ""C"": ""DKA requires prompt insulin administration (A) to lower blood glucose. Frequent blood glucose monitoring (B) is essential to guide insulin therapy.  Potassium is often depleted in DKA, requiring replacement (E). Fluid replacement is crucial (not restriction, C) because of dehydration.  Hypokalemia (F) is a common complication of DKA; however, monitoring for it isn't as critical as actively replacing potassium.  Encouraging oral fluids (D) is contraindicated until fluid replacement is initiated via IV."", ""D"": ""DKA requires prompt insulin administration (A) to lower blood glucose. Frequent blood glucose monitoring (B) is essential to guide insulin therapy.  Potassium is often depleted in DKA, requiring replacement (E). Fluid replacement is crucial (not restriction, C) because of dehydration.  Hypokalemia (F) is a common complication of DKA; however, monitoring for it isn't as critical as actively replacing potassium.  Encouraging oral fluids (D) is contraindicated until fluid replacement is initiated via IV."", ""E"": ""DKA requires prompt insulin administration (A) to lower blood glucose. Frequent blood glucose monitoring (B) is essential to guide insulin therapy.  Potassium is often depleted in DKA, requiring replacement (E). Fluid replacement is crucial (not restriction, C) because of dehydration.  Hypokalemia (F) is a common complication of DKA; however, monitoring for it isn't as critical as actively replacing potassium.  Encouraging oral fluids (D) is contraindicated until fluid replacement is initiated via IV."", ""F"": ""DKA requires prompt insulin administration (A) to lower blood glucose. Frequent blood glucose monitoring (B) is essential to guide insulin therapy.  Potassium is often depleted in DKA, requiring replacement (E). Fluid replacement is crucial (not restriction, C) because of dehydration.  Hypokalemia (F) is a common complication of DKA; however, monitoring for it isn't as critical as actively replacing potassium.  Encouraging oral fluids (D) is contraindicated until fluid replacement is initiated via IV.""}",3,
123,A patient with chronic kidney disease (CKD) reports increasing fatigue and shortness of breath.  Which laboratory result should the nurse prioritize reviewing?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Potassium level""}, {""id"": ""B"", ""text"": ""Hemoglobin level""}, {""id"": ""C"", ""text"": ""Blood urea nitrogen (BUN)""}, {""id"": ""D"", ""text"": ""Creatinine level""}]","""B""","Fatigue and shortness of breath are common symptoms of anemia, a frequent complication of CKD.  Checking the hemoglobin level (B) is crucial to assess for anemia. While the other options are relevant to CKD management, anemia is the most likely explanation for these symptoms.","{""A"": ""Fatigue and shortness of breath are common symptoms of anemia, a frequent complication of CKD.  Checking the hemoglobin level (B) is crucial to assess for anemia. While the other options are relevant to CKD management, anemia is the most likely explanation for these symptoms."", ""B"": ""Fatigue and shortness of breath are common symptoms of anemia, a frequent complication of CKD.  Checking the hemoglobin level (B) is crucial to assess for anemia. While the other options are relevant to CKD management, anemia is the most likely explanation for these symptoms."", ""C"": ""Fatigue and shortness of breath are common symptoms of anemia, a frequent complication of CKD.  Checking the hemoglobin level (B) is crucial to assess for anemia. While the other options are relevant to CKD management, anemia is the most likely explanation for these symptoms."", ""D"": ""Fatigue and shortness of breath are common symptoms of anemia, a frequent complication of CKD.  Checking the hemoglobin level (B) is crucial to assess for anemia. While the other options are relevant to CKD management, anemia is the most likely explanation for these symptoms.""}",2,
124,A patient with a new ileostomy reports persistent skin irritation around the stoma. What is the most likely cause?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Improper ostomy pouch application""}, {""id"": ""B"", ""text"": ""Dietary intake of high-fiber foods""}, {""id"": ""C"", ""text"": ""Insufficient fluid intake""}, {""id"": ""D"", ""text"": ""Lack of regular bowel movements""}]","""A""","Skin irritation is most commonly caused by improper ostomy pouch application, leading to leakage of stool and digestive enzymes.","{""A"": ""Skin irritation is most commonly caused by improper ostomy pouch application, leading to leakage of stool and digestive enzymes."", ""B"": ""Skin irritation is most commonly caused by improper ostomy pouch application, leading to leakage of stool and digestive enzymes."", ""C"": ""Skin irritation is most commonly caused by improper ostomy pouch application, leading to leakage of stool and digestive enzymes."", ""D"": ""Skin irritation is most commonly caused by improper ostomy pouch application, leading to leakage of stool and digestive enzymes.""}",1,
125,The nurse just completed wound care for a patient with a methicillin-resistant Staphylococcus aureus (MRSA) infection. What should the nurse do next?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Remove gloves and gown before leaving the room.""}, {""id"": ""B"", ""text"": ""Wash hands thoroughly with soap and water.""}, {""id"": ""C"", ""text"": ""Dispose of all materials in a regular trash can.""}, {""id"": ""D"", ""text"": ""Document the procedure in the patient's chart.""}]","""B""",Thorough handwashing after contact with an MRSA infection is crucial to prevent transmission.,"{""A"": ""Thorough handwashing after contact with an MRSA infection is crucial to prevent transmission."", ""B"": ""Thorough handwashing after contact with an MRSA infection is crucial to prevent transmission."", ""C"": ""Thorough handwashing after contact with an MRSA infection is crucial to prevent transmission."", ""D"": ""Thorough handwashing after contact with an MRSA infection is crucial to prevent transmission.""}",1,
